Study	Sample	Normal_or_Tumor	Coverage	Notes
Martincorena et al.	PD30272bm	Normal	targeted	N/A
Martincorena et al.	PD30272bn	Normal	targeted	N/A
Martincorena et al.	PD30272bo	Normal	targeted	N/A
Martincorena et al.	PD30272bp	Normal	targeted	N/A
Martincorena et al.	PD30272bq	Normal	targeted	N/A
Martincorena et al.	PD30272br	Normal	targeted	N/A
Martincorena et al.	PD30272bs	Normal	targeted	N/A
Martincorena et al.	PD30272bt	Normal	targeted	N/A
Martincorena et al.	PD30272bu	Normal	targeted	N/A
Martincorena et al.	PD30272bv	Normal	targeted	N/A
Martincorena et al.	PD30272bw	Normal	targeted	N/A
Martincorena et al.	PD30272bx	Normal	targeted	N/A
Martincorena et al.	PD30272by	Normal	targeted	N/A
Martincorena et al.	PD30272c	Normal	targeted	N/A
Martincorena et al.	PD30272cb	Normal	targeted	N/A
Martincorena et al.	PD30272cc	Normal	targeted	N/A
Martincorena et al.	PD30272cd	Normal	targeted	N/A
Martincorena et al.	PD30272ce	Normal	targeted	N/A
Martincorena et al.	PD30272cf	Normal	targeted	N/A
Martincorena et al.	PD30272ci	Normal	targeted	N/A
Martincorena et al.	PD30272cj	Normal	targeted	N/A
Martincorena et al.	PD30272ck	Normal	targeted	N/A
Martincorena et al.	PD30272cl	Normal	targeted	N/A
Martincorena et al.	PD30272cm	Normal	targeted	N/A
Martincorena et al.	PD30272cn	Normal	targeted	N/A
Martincorena et al.	PD30272co	Normal	targeted	N/A
Martincorena et al.	PD30272cq	Normal	targeted	N/A
Martincorena et al.	PD30272cr	Normal	targeted	N/A
Martincorena et al.	PD30272ct	Normal	targeted	N/A
Martincorena et al.	PD30272cu	Normal	targeted	N/A
Martincorena et al.	PD30272cv	Normal	targeted	N/A
Martincorena et al.	PD30272d	Normal	targeted	N/A
Martincorena et al.	PD30272e	Normal	targeted	N/A
Martincorena et al.	PD30272f	Normal	targeted	N/A
Martincorena et al.	PD30272g	Normal	targeted	N/A
Martincorena et al.	PD30272h	Normal	targeted	N/A
Martincorena et al.	PD30272i	Normal	targeted	N/A
Martincorena et al.	PD30272j	Normal	targeted	N/A
Martincorena et al.	PD30272k	Normal	targeted	N/A
Martincorena et al.	PD30272l	Normal	targeted	N/A
Martincorena et al.	PD30272m	Normal	targeted	N/A
Martincorena et al.	PD30272n	Normal	targeted	N/A
Martincorena et al.	PD30272o	Normal	targeted	N/A
Martincorena et al.	PD30272p	Normal	targeted	N/A
Martincorena et al.	PD30272q	Normal	targeted	N/A
Martincorena et al.	PD30272r	Normal	targeted	N/A
Martincorena et al.	PD30272s	Normal	targeted	N/A
Martincorena et al.	PD30272u	Normal	targeted	N/A
Martincorena et al.	PD30272v	Normal	targeted	N/A
Martincorena et al.	PD30272w	Normal	targeted	N/A
Martincorena et al.	PD30272x	Normal	targeted	N/A
Martincorena et al.	PD30272y	Normal	targeted	N/A
Martincorena et al.	PD30272z	Normal	targeted	N/A
Martincorena et al.	PD30273b	Normal	targeted	N/A
Martincorena et al.	PD30274b	Normal	targeted	N/A
Martincorena et al.	PD30274ch	Normal	targeted	N/A
Martincorena et al.	PD30274ct	Normal	targeted	N/A
Martincorena et al.	PD30987ad	Normal	targeted	N/A
Martincorena et al.	PD30987af	Normal	targeted	N/A
Martincorena et al.	PD30987ag	Normal	targeted	N/A
Martincorena et al.	PD30987al	Normal	targeted	N/A
Martincorena et al.	PD30987am	Normal	targeted	N/A
Martincorena et al.	PD30987ap	Normal	targeted	N/A
Martincorena et al.	PD30987au	Normal	targeted	N/A
Martincorena et al.	PD30987aw	Normal	targeted	N/A
Martincorena et al.	PD30987bl	Normal	targeted	N/A
Martincorena et al.	PD30987bn	Normal	targeted	N/A
Martincorena et al.	PD30987bo	Normal	targeted	N/A
Martincorena et al.	PD30987bt	Normal	targeted	N/A
Martincorena et al.	PD30987bu	Normal	targeted	N/A
Martincorena et al.	PD30987bv	Normal	targeted	N/A
Martincorena et al.	PD30987bw	Normal	targeted	N/A
Martincorena et al.	PD30987bz	Normal	targeted	N/A
Martincorena et al.	PD30987cd	Normal	targeted	N/A
Martincorena et al.	PD30987ce	Normal	targeted	N/A
Martincorena et al.	PD30987ck	Normal	targeted	N/A
Martincorena et al.	PD30987cs	Normal	targeted	N/A
Martincorena et al.	PD30987ct	Normal	targeted	N/A
Martincorena et al.	PD30987cu	Normal	targeted	N/A
Martincorena et al.	PD30987e	Normal	targeted	N/A
Martincorena et al.	PD30987i	Normal	targeted	N/A
Martincorena et al.	PD30987n	Normal	targeted	N/A
Martincorena et al.	PD30987o	Normal	targeted	N/A
Martincorena et al.	PD30987r	Normal	targeted	N/A
Martincorena et al.	PD30987s	Normal	targeted	N/A
Martincorena et al.	PD30987t	Normal	targeted	N/A
Martincorena et al.	PD30987u	Normal	targeted	N/A
Martincorena et al.	PD30987v	Normal	targeted	N/A
Martincorena et al.	PD30987w	Normal	targeted	N/A
Martincorena et al.	PD30987z	Normal	targeted	N/A
Martincorena et al.	PD30988ak	Normal	targeted	N/A
Martincorena et al.	PD30988al	Normal	targeted	N/A
Martincorena et al.	PD30988am	Normal	targeted	N/A
Martincorena et al.	PD30988bs	Normal	targeted	N/A
Martincorena et al.	PD30988ck	Normal	targeted	N/A
Martincorena et al.	PD30988p	Normal	targeted	N/A
Martincorena et al.	PD30988v	Normal	targeted	N/A
Martincorena et al.	PD31182cv	Normal	targeted	N/A
Martincorena et al.	PD36712ab	Normal	targeted	N/A
Martincorena et al.	PD36712ac	Normal	targeted	N/A
Martincorena et al.	PD36712ad	Normal	targeted	N/A
Martincorena et al.	PD36712ae	Normal	targeted	N/A
Martincorena et al.	PD36712af	Normal	targeted	N/A
Martincorena et al.	PD36712ag	Normal	targeted	N/A
Martincorena et al.	PD36712ah	Normal	targeted	N/A
Martincorena et al.	PD36712ai	Normal	targeted	N/A
Martincorena et al.	PD36712aj	Normal	targeted	N/A
Martincorena et al.	PD36712ak	Normal	targeted	N/A
Martincorena et al.	PD36712al	Normal	targeted	N/A
Martincorena et al.	PD36712am	Normal	targeted	N/A
Martincorena et al.	PD36712an	Normal	targeted	N/A
Martincorena et al.	PD36712ao	Normal	targeted	N/A
Martincorena et al.	PD36712ap	Normal	targeted	N/A
Martincorena et al.	PD36712aq	Normal	targeted	N/A
Martincorena et al.	PD36712ar	Normal	targeted	N/A
Martincorena et al.	PD36712as	Normal	targeted	N/A
Martincorena et al.	PD36712at	Normal	targeted	N/A
Martincorena et al.	PD36712au	Normal	targeted	N/A
Martincorena et al.	PD36712aw	Normal	targeted	N/A
Martincorena et al.	PD36712ax	Normal	targeted	N/A
Martincorena et al.	PD36712ay	Normal	targeted	N/A
Martincorena et al.	PD36712az	Normal	targeted	N/A
Martincorena et al.	PD36712bb	Normal	targeted	N/A
Martincorena et al.	PD36712bc	Normal	targeted	N/A
Martincorena et al.	PD36712bd	Normal	targeted	N/A
Martincorena et al.	PD36712be	Normal	targeted	N/A
Martincorena et al.	PD36712bf	Normal	targeted	N/A
Martincorena et al.	PD36712bi	Normal	targeted	N/A
Martincorena et al.	PD36712bj	Normal	targeted	N/A
Martincorena et al.	PD36712bk	Normal	targeted	N/A
Martincorena et al.	PD36712bm	Normal	targeted	N/A
Martincorena et al.	PD36712bo	Normal	targeted	N/A
Martincorena et al.	PD36712bp	Normal	targeted	N/A
Martincorena et al.	PD36712bq	Normal	targeted	N/A
Martincorena et al.	PD36712br	Normal	targeted	N/A
Martincorena et al.	PD36712bs	Normal	targeted	N/A
Martincorena et al.	PD36712bt	Normal	targeted	N/A
Martincorena et al.	PD36712bu	Normal	targeted	N/A
Martincorena et al.	PD36712bv	Normal	targeted	N/A
Martincorena et al.	PD36712bw	Normal	targeted	N/A
Martincorena et al.	PD36712bx	Normal	targeted	N/A
Martincorena et al.	PD36712by	Normal	targeted	N/A
Martincorena et al.	PD36712bz	Normal	targeted	N/A
Martincorena et al.	PD36712c	Normal	targeted	N/A
Martincorena et al.	PD36712cb	Normal	targeted	N/A
Martincorena et al.	PD36712cc	Normal	targeted	N/A
Martincorena et al.	PD36712cd	Normal	targeted	N/A
Martincorena et al.	PD36712ce	Normal	targeted	N/A
Martincorena et al.	PD36712cf	Normal	targeted	N/A
Martincorena et al.	PD36712cg	Normal	targeted	N/A
Martincorena et al.	PD36712ch	Normal	targeted	N/A
Martincorena et al.	PD36712ci	Normal	targeted	N/A
Martincorena et al.	PD36712cj	Normal	targeted	N/A
Martincorena et al.	PD36712ck	Normal	targeted	N/A
Martincorena et al.	PD36712cl	Normal	targeted	N/A
Martincorena et al.	PD36712cm	Normal	targeted	N/A
Martincorena et al.	PD36712cn	Normal	targeted	N/A
Martincorena et al.	PD36712cq	Normal	targeted	N/A
Martincorena et al.	PD36712cr	Normal	targeted	N/A
Martincorena et al.	PD36712cs	Normal	targeted	N/A
Martincorena et al.	PD36712ct	Normal	targeted	N/A
Martincorena et al.	PD36712cu	Normal	targeted	N/A
Martincorena et al.	PD36712cv	Normal	targeted	N/A
Martincorena et al.	PD36712e	Normal	targeted	N/A
Martincorena et al.	PD36712f	Normal	targeted	N/A
Martincorena et al.	PD36712g	Normal	targeted	N/A
Martincorena et al.	PD36712h	Normal	targeted	N/A
Martincorena et al.	PD36712i	Normal	targeted	N/A
Martincorena et al.	PD36712j	Normal	targeted	N/A
Martincorena et al.	PD36712k	Normal	targeted	N/A
Martincorena et al.	PD36712l	Normal	targeted	N/A
Martincorena et al.	PD36712m	Normal	targeted	N/A
Martincorena et al.	PD36712n	Normal	targeted	N/A
Martincorena et al.	PD36712o	Normal	targeted	N/A
Martincorena et al.	PD36712p	Normal	targeted	N/A
Martincorena et al.	PD36712q	Normal	targeted	N/A
Martincorena et al.	PD36712r	Normal	targeted	N/A
Martincorena et al.	PD36712s	Normal	targeted	N/A
Martincorena et al.	PD36712t	Normal	targeted	N/A
Martincorena et al.	PD36712u	Normal	targeted	N/A
Martincorena et al.	PD36712v	Normal	targeted	N/A
Martincorena et al.	PD36712w	Normal	targeted	N/A
Martincorena et al.	PD36712x	Normal	targeted	N/A
Martincorena et al.	PD36806ad	Normal	targeted	N/A
Martincorena et al.	PD36806af	Normal	targeted	N/A
Martincorena et al.	PD36806ah	Normal	targeted	N/A
Martincorena et al.	PD36806ai	Normal	targeted	N/A
Martincorena et al.	PD36806ak	Normal	targeted	N/A
Martincorena et al.	PD36806al	Normal	targeted	N/A
Martincorena et al.	PD36806am	Normal	targeted	N/A
Martincorena et al.	PD36806an	Normal	targeted	N/A
Martincorena et al.	PD36806ao	Normal	targeted	N/A
Martincorena et al.	PD36806ap	Normal	targeted	N/A
Martincorena et al.	PD36806aq	Normal	targeted	N/A
Martincorena et al.	PD36806ar	Normal	targeted	N/A
Martincorena et al.	PD36806as	Normal	targeted	N/A
Martincorena et al.	PD36806au	Normal	targeted	N/A
Martincorena et al.	PD36806av	Normal	targeted	N/A
Martincorena et al.	PD36806ax	Normal	targeted	N/A
Martincorena et al.	PD36806ay	Normal	targeted	N/A
Martincorena et al.	PD36806bb	Normal	targeted	N/A
Martincorena et al.	PD36806bc	Normal	targeted	N/A
Martincorena et al.	PD36806bd	Normal	targeted	N/A
Martincorena et al.	PD36806be	Normal	targeted	N/A
Martincorena et al.	PD36806bf	Normal	targeted	N/A
Martincorena et al.	PD36806bg	Normal	targeted	N/A
Martincorena et al.	PD36806bh	Normal	targeted	N/A
Martincorena et al.	PD36806bi	Normal	targeted	N/A
Martincorena et al.	PD36806bj	Normal	targeted	N/A
Martincorena et al.	PD36806bk	Normal	targeted	N/A
Martincorena et al.	PD36806bl	Normal	targeted	N/A
Martincorena et al.	PD36806bm	Normal	targeted	N/A
Martincorena et al.	PD36806bo	Normal	targeted	N/A
Martincorena et al.	PD36806bp	Normal	targeted	N/A
Martincorena et al.	PD36806br	Normal	targeted	N/A
Martincorena et al.	PD36806bt	Normal	targeted	N/A
Martincorena et al.	PD36806bu	Normal	targeted	N/A
Martincorena et al.	PD36806bw	Normal	targeted	N/A
Martincorena et al.	PD36806bx	Normal	targeted	N/A
Martincorena et al.	PD36806by	Normal	targeted	N/A
Martincorena et al.	PD36806bz	Normal	targeted	N/A
Martincorena et al.	PD36806cb	Normal	targeted	N/A
Martincorena et al.	PD36806cd	Normal	targeted	N/A
Martincorena et al.	PD36806ce	Normal	targeted	N/A
Martincorena et al.	PD36806cf	Normal	targeted	N/A
Martincorena et al.	PD36806cg	Normal	targeted	N/A
Martincorena et al.	PD36806ci	Normal	targeted	N/A
Martincorena et al.	PD36806cj	Normal	targeted	N/A
Martincorena et al.	PD36806ck	Normal	targeted	N/A
Martincorena et al.	PD36806cm	Normal	targeted	N/A
Martincorena et al.	PD36806cn	Normal	targeted	N/A
Martincorena et al.	PD36806cq	Normal	targeted	N/A
Martincorena et al.	PD36806cr	Normal	targeted	N/A
Martincorena et al.	PD36806cu	Normal	targeted	N/A
Martincorena et al.	PD36806cv	Normal	targeted	N/A
Martincorena et al.	PD36806d	Normal	targeted	N/A
Martincorena et al.	PD36806f	Normal	targeted	N/A
Martincorena et al.	PD36806g	Normal	targeted	N/A
Martincorena et al.	PD36806h	Normal	targeted	N/A
Martincorena et al.	PD36806i	Normal	targeted	N/A
Martincorena et al.	PD36806j	Normal	targeted	N/A
Martincorena et al.	PD36806k	Normal	targeted	N/A
Martincorena et al.	PD36806l	Normal	targeted	N/A
Martincorena et al.	PD36806m	Normal	targeted	N/A
Martincorena et al.	PD36806o	Normal	targeted	N/A
Martincorena et al.	PD36806p	Normal	targeted	N/A
Martincorena et al.	PD36806q	Normal	targeted	N/A
Martincorena et al.	PD36806r	Normal	targeted	N/A
Martincorena et al.	PD36806t	Normal	targeted	N/A
Martincorena et al.	PD36806u	Normal	targeted	N/A
Martincorena et al.	PD36806w	Normal	targeted	N/A
Martincorena et al.	PD36806x	Normal	targeted	N/A
Martincorena et al.	PD36806y	Normal	targeted	N/A
Martincorena et al.	PD36806z	Normal	targeted	N/A
Li et al.	PMID22877736;ESOSCC152T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC154T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC155T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC156T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC157T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC158T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC159T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC160T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC161T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC162T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC163T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID22877736;ESOSCC164T	Tumor	exome	originally published by Agrawal et al.(2012)
Li et al.	PMID25151357;214	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;215	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;216	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;217	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;218	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;219	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;220	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;222	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;223	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;224	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;225	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;226	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;227	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;228	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;229	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;381	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;382	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;383	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;384	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;385	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;386	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;387	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;388	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;389	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;390	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;391	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;392	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;393	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;394	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;395	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;396	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;397	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;398	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;399	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;400	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;401	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;402	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;403	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;404	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;405	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;406	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;407	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;408	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;409	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;410	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;411	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;412	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;413	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;414	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;415	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;416	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;417	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;418	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;419	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;420	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;421	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;422	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;423	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;424	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;425	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;426	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;427	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;428	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;429	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;430	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;431	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;432	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;433	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;434	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;435	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;436	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;437	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;438	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;440	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;441	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;442	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;443	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;444	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;445	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;446	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;447	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;448	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;449	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;450	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;451	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;452	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;453	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;454	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;456	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;457	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;458	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;459	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;460	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;461	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;462	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;463	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;464	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;465	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;466	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;467	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;468	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;469	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;470	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;471	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;472	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;473	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;474	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;475	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;476	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;477	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;478	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;479	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25151357;480	Tumor	exome	originally published by Gao et al.(2014)
Li et al.	PMID25839328;1N01-VS-1T01	Tumor	genome	originally published by Zhang et al.(2015)
Li et al.	PMID25839328;1N02-VS-1T02	Tumor	genome	originally published by Zhang et al.(2015)
Li et al.	PMID25839328;1N03-VS-1T03	Tumor	genome	originally published by Zhang et al.(2015)
Li et al.	PMID25839328;1N04-VS-1T04	Tumor	genome	originally published by Zhang et al.(2015)
Li et al.	PMID25839328;1N05-VS-1T05	Tumor	genome	originally published by Zhang et al.(2015)
Li et al.	PMID25839328;1N21-VS-1T21	Tumor	exome	originally published by Zhang et al.(2015)
